title,dislikes,hashtag
나 오늘 1일1술 하는 본격 술발라드 장인 커버 :: 혼술하고 싶은 밤 - 벤 (Cover by 전철민 ),25,
촬영중.. 드론까지 박살낸 애절함의 끝판왕 :: 나 가거든 - 조수미 (COVER BY 전철민),151,
남자커버중 가장 소름돋게 부르는 :: 거짓말이라도 해서 널 보고싶어 - 백지영 (Cover by 전철민 ),49,
너와 이별 그리고.. 오늘부터 1일 - 정유진 (cover by 전철민),4,
이승기X윤종신 5년만의 복귀작 바로 불러봅니다! :: [집사부일체] 이승기 - 뻔한남자 (Cover by 전철민),12,
장범준 노래가 이런 찐발라드 노래였다니..? :: 잠이 오질 않네요 - 장범준(cover by 전철민),33,
“당신이 서있는 길..” 눈물을 흘릴수 밖에 없었던 이유 (song : god - 길),8,
🏆도전! 힘나쏭 챌린지🏆 여러분 우리함께 힘내요!! :: 하현우 - 힘나쏭 (song by 전철민),7,
혹시 이 노래 모르시는 거 아니시죠!? :: 사랑은 늘 도망가 - 이문세 (Cover by 전철민 ),28,
질리지않는 2000년대 명품 발라드 :: Heaven - 김현성 (Cover by 전철민),21,
너무 높아서 부르다 성대 갈릴뻔..갓창정 리스펙👍 :: 임창정 - 힘든 건 사랑이 아니다 (cover by 전철민),30,
가수는 갑자기 노래를 시켜도 잘할까?,3,
+2key 마음과 가창력으로 부른 :: 길 - 한동근(cover by 전철민),7,
전철민의 구독자송 :: 임재범 - 이 또한 지나가리라 (Cover by 전철민 ),4,
촬영중 무방비 상태로 시작한 역대급 무반주 라이브 '여전히 아름다운지' (Cover by 전철민),4,
아~~주 멀리서 버스킹 #1 :: 오직 너만 - 김범수(cover by 전철민),17,
아~~주 멀리서 버스킹 #2 :: 사랑합니다 - 팀 (Cover by 전철민),4,
철민이형 정말 잘부르시네요.. 뱅크(복면가왕 클레오파트라) - 가질 수 없는 너 (cover by 전철민),25,
철없던 20대를 지나 서른이 되었을때.. :: 그것만이 내 세상 - 들국화 (cover by . 전철민),9,
"1000여곡을 부른 발라더가 해석해본 ""사랑에 빠지고 싶다 - 김조한"" (Cover by 더히든 전철민 )",14,
"사랑을 xx 하지 마세요.. ""박원 - 노력"" (Cover by 더히든 전철민)",5,
"성대가 찢어져도 후렴은 부른다..""임한별 - 이별하러 가는 길"" (Cover by 카진)",6,
"미스터트롯 우승자 특전곡 ""임영웅 - 이제 나만 믿어요"" (Cover by 소울크라이)",4,
디셈버(DK) - 인기척 하이에나 OST (Cover by 더히든 전철민),7,
"보이스코리아 2020 극적인 올턴!! 주인공 ""마크툽(Maktub) -오늘도 빛나는 너에게"" (Cover by 정유진)",20,
🌸꽃놀이는 못가도 괜찮아 귀로 느끼는 봄메들리 (Cover by. 더히든 전철민 x 메일),3,
이태원 클라쓰 OST 메들리 Part .1 ~ Part.10 모음 (Cover by 더히든 전철민 X 카진X 성배 ),3,
"1시간만 이렇게 노래하게 해주세요..""노을 - 너는 어땠을까"" (Cover by 더히든 전철민 X 소울크라이)",12,
"연륜없이 부르면 안되는 노래 ""옛사랑 - 이문세"" (Cover by 대중소 소울크라이)",17,
슈가맨 특집!! 씨야(See Ya)편 - 구두(남자VER) (Cover by 더히든 전철민),13,
고음 헬곡을 부른 지세희 - 아직 (Cover by 더히든 전철민),4,
이노래 하나로 드라마 장면이 다 상상됨.. 크러쉬(Crush) - 둘만의 세상으로 가 (사랑의 불시착 OST Part 10) Cover by. 더히든 전철민,2,
악플을 달수 없는 노래 김태우 - 사랑비 (Cover by 더히든 전철민),21,
"※고음 소름주의※ 김범수 메들리 (사랑해요,슬픔 활용법,오직 너만,보고싶다,지나간다,끝사랑) Cover by 더히든 - 전철민",10,
"※고음 소름주의※ 김범수 메들리 (사랑해요,슬픔 활용법,오직 너만,보고싶다,지나간다,끝사랑) Cover by 더히든 - 전철민",10,
헤이즈 - 비도 오고 그래서 (Cover by 더히든 전철민),11,
헤이즈 - 비도 오고 그래서 (Cover by 더히든 전철민),11,
거미 - 기억상실 (Cover by 더히든 전철민),3,
이은미 - 녹턴 (Cover by 지세희),15,
만약에 말야 - 노을(전우성) (Cover by. 더히든 전철민),7,
"이별하면 공감하는 ""임창정 - 나란 놈이란"" (cover by. 더히든 전철민)",11,
기절하기 직전까지 고음을 포효 하는 임재범 - 비상 (cover by. 더히든 전철민),333,
철민이형이 가수가 된 이유(cover by . 더히든 전철민),33,
히든싱어 김범수 x 박진영 편 콜라보 이문세 - 가로수 그늘아래 서면 (cover by . 더히든 전철민 X 이상택),18,
고음의 정석 어디에도 - M.C. the Max (cover BY . 더히든 전철민),199,
고음의 정석 어디에도 - M.C. the Max (cover BY . 더히든 전철민),199,
"촬영중 고음에 놀란 동네 주민이 몰려와 구경한 ""서문탁 - 사랑 결코 시들지 않는"" 복면가왕 ver. (cover by . 더히든 전철민)",32,
태연 - 내게 들려주고 싶은 말(cover by . 더히든 전철민),2,
한국어) 겨울왕국2 OST-Into the Unknown (cover by . 더히든 전철민) Original Key 남자버전,6,
남자들의 이별 후폭풍 을 노래한 김범수 - MEMORY (Cover by 전철민),6,
우리 몸 안에서 몰래 일하고 있는 존재들이 있다면..?,973,
세희 누나가 불러주는 다비치 - 나의 오랜 연인에게 (cover by. 지세희),8,
댓글로 당신의 이야기를 들려주세요 김동률 - 기억의 습작 (Cover by . 더히든 전철민),20,
가슴이 따뜻해지는 :: 세월이 가면 (COVER 더히든- 전철민),16,
이게 감성이다 철민이형이 부르는 바람이 분다(COVER BY. 더히든 전철민),13,
"촬영장에 있던 모두가 울음바다가 된 ""노라조 - 형"" 누나ver. (cover by. 지세희)",1.2천,
🔥요청폭주🔥 장윤정 - 초혼 남자 발라드ver. (Cover by. 더히든 전철민),63,
이젠 사랑 안한다는 철민이형 (사랑안해 - cover by. 더히든 전철민),40,
이젠 사랑 안한다는 철민이형 (사랑안해 - cover by. 더히든 전철민),40,
이젠 사랑 안한다는 철민이형 (사랑안해 - cover by. 더히든 전철민),40,
🔥보이스코리아 2020 대중소🔥 김범수 - 지나간다 (cover by . 대중소 카진),5,
들으면 바로 전화하게 되는 이 번호로 전화줘 - (cover by .더히든 전철민),10,
마음이 따뜻해지는 오늘(today - 대중소 카진)cover,0,
"나는가수다 ""김연우 - 미련"" (Cover by. 더히든 전철민)",4,
"""트와이스(TWICE) - Feel Special"" 커버 (Cover by. 지은)",3,
"이형 드디어 술마시다 사고 침.. ""전철민 - 나 오늘 술마셨어""",5,
장덕철 - 있어줘요 커버 (Cover by. 전철민),12,
"여자키 발라드 버전으로 부른 ""장범준 - 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야"" 커버 (Cover by. 더히든 전철민)",16,
"원곡보다 더 높게 불러본 ""임창정 - 십삼월"" +1Key (Cover by.더히든 전철민)",14,
"철민이형의 역대급 고음 ""박혜원 - 시든 꽃에 물을 주듯"" 남자 커버 (Cover by. 더히든 전철민)",172,
"호텔델루나 OST 먼데이 키즈, 펀치 - Another Day 커버 (Cover by. 카진x타르트)",44,
"남자커버중 역대급으로 부른 호텔델루나OST ""태연 - 그대라는시"" 커버 (cover by. 지울)",41,
축가로 제격인 마크툽 - 오늘도 빛나는 너에게 커버 (Cover by 더히든 전철민x카진),62,
"남사친이 불러주는 ""멜로망스 - 인사 "" 커버 (cover by. 더히든 - 임성현)",2,
폴킴 - 너를 만나 (일반인 노래영상 제작) :: 셀프노트 일반인 녹음실,4,
닐로 - 넋두리 (일반인 노래영상 제작) :: 셀프노트 일반인 녹음실,0,
이하이(LEE HI) - '누구없소 (NO ONE) :: COVER by. 타르트,1,
Billie Eilish - bad guy [ Cover by. 셀프어쿠스틱 ],4,
[알라딘 OST] Speechless (+3 키업) - Naomi scott (cover by. 타르트),21,
박효신 콘서트 오프닝 보고 반해서 불러본 '박효신(park hyo shin) - 연인' 커버 (cover by. 전철민),28,
새벽 이별 감성 으로 부른 황인욱(Inwook Hwang) - 포장마차 커버 (cover. by 전철민),93,
다시듣고 싶은 역대급 명곡 '바이브 - 술이야' 커버 (Cover by. Soul Cry & Kajin),11,
ENG) D.O 디오 ' 괜찮아도 괜찮아 (That's Okay)' 커버 (Cover by. 지울),4,
굿바이 역대급 커버!! 드디어 나왔다 :: 박효신 - goodbye 커버 (cover by. 전철민),54,
"노래 끝판왕 형들이 부르는 ""임재현 - 사랑에 연습이 있었다면"" 커버 (cover) 듀엣ver.",73,
양다일(Yang Dall) - my love 커버 (Cover by. 카진),6,
"이별한 만큼 들리는 술 메들리 (술이 문제야, 포장마차, 소주한잔, 술 한잔 해요) Vocal by.더히든 전철민",146,
"극한의 이별을 보여주는 ""벤(BEN) - 헤어져줘서 고마워"" 커버 남자ver (Cover by. 전철민)",342,
"원곡자도 놀랄 미친 cover 장혜진,윤민수(바이브) - 술이 문제야 커버(Cover by. 전철민x지세희)",377,
다정히 내 이름을 부르면 - 경서예지x전건호 (Cover by 전철민x연예진),0,
내가 아니라도 - 주호 (Cover by 카진),0,
요즘 듣고싶은 노래가 없어서..좋은 노래좀 듣고 갈게요♥ :: 내 생에 아름다운 - 케이윌 (Cover by 임성현),0,
"감동, 음색, 감성 모두 느끼고 싶을때 듣는 슬픈노래 :: 희재 - 성시경 (Cover by 전철민)",4,
8090년생 가사 없어도 따라 부를수 있는 노래💕 :: 사랑인걸 - 모세 (Cover by 전철민),4,
우리들의 블루스 - 임영웅 (Cover by 카진),0,
내가 아니라도 - 주호 (Cover by 카진),0,
요즘 - 양다일 (Cover by 전철민),0,
요즘 듣고싶은 노래가 없어서..좋은 노래좀 듣고 갈게요♥ :: 내 생에 아름다운 - 케이윌 (Cover by 임성현),0,
어떻게 사랑이 그래요 - 이승환 (Cover by 전철민),4,
사랑 듬뿍 담아둔 목소리💕 :: 사랑인가봐 - 멜로망스 (Cover by 임성현),0,
"감동, 음색, 감성 모두 느끼고 싶을때 듣는 슬픈노래 :: 희재 - 성시경 (Cover by 전철민)",4,
